EpisodeLength,Reward,step,model_number,RunID,Env,Selection,Crossover,LR
200,-1510.177930968745,0,6,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1774.0496684091304,0,7,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1402.044885391749,0,8,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1794.6478793241379,0,9,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1590.2360206852295,0,10,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1554.6768214445722,0,11,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1259.728521395593,0,12,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1314.6173784217153,0,13,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1049.743997676121,0,14,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1490.8052342141,0,15,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1423.174666334447,0,16,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-976.7838903362755,0,17,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1596.4514425470013,0,18,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1386.6934151273226,0,19,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1624.7689073945153,0,20,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1505.4670208298899,0,21,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1647.380772086526,0,22,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1381.302293941516,0,23,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1300.9152530086803,0,24,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1490.576688760322,0,25,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1164.2506880027026,0,26,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1879.6268852638398,0,27,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1386.125399417574,0,28,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1738.8090070526598,0,29,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1401.5838784069904,0,30,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1711.3279339807575,0,31,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1596.1674606232511,0,32,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1376.628671874641,0,33,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1908.8678627487209,0,34,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1502.276858405678,0,35,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1215.7411708099332,0,36,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1343.9710039529587,0,37,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1700.897041703158,0,38,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1197.8256155974866,0,39,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1167.118268511331,0,40,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1121.9303765127963,0,41,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1344.1200141192264,0,42,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1817.673989002162,0,43,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1285.9825557987206,0,44,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1614.462444033298,0,45,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1167.603656519276,0,46,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1045.4401709686495,0,47,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1208.9284772955948,0,48,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1392.0888843771024,0,49,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1614.4934543005127,1,0,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1626.9017986125566,1,1,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1860.5955383143491,1,2,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1886.0179240849181,1,3,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1028.287663774637,1,4,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1382.7712139092796,1,5,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1309.178295262728,1,6,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1231.1993460201772,1,7,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1460.804068701547,1,8,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1078.3068453432145,1,9,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1400.9080610503552,1,10,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1394.496860474001,1,11,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1076.0177739470441,1,12,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1375.8921369077707,1,13,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1456.3478080889722,1,14,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1431.5516754042999,1,15,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1560.8614651689718,1,16,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1522.3892047207314,1,17,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1317.1065584821843,1,18,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1156.7458778924397,1,19,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1622.7398112836393,1,20,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1198.9488427618057,1,21,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1483.9395792155917,1,22,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1322.8066779665587,1,23,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1320.183727081761,1,24,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-969.5241019778931,1,25,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1503.7372710919165,1,26,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1404.0332298469202,1,27,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1234.5008604137038,1,28,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1578.8231558104665,1,29,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1427.7991987053508,1,30,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1768.1674964326621,1,31,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1645.453089923365,1,32,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1635.5663935222158,1,33,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1495.5105525948823,1,34,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1474.7117966116095,1,35,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1539.9837746033993,1,36,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1294.4275964574786,1,37,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1904.0701871956137,1,38,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1583.9203667469556,1,39,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1457.4572803788953,1,40,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1199.7599661148352,1,41,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1502.6741231066724,1,42,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1500.1412078042392,1,43,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1249.210267368282,1,44,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1459.4618703802919,1,45,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1345.7898899094582,1,46,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1348.4667091795513,1,47,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1695.0756777612419,1,48,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1331.6489234032654,1,49,16,Pendulum-v1,TournamentPolicy,JigglePolicy,DecayingLR
200,-1279.7544009385808,0,0,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1505.7253700325803,0,1,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1122.046794203379,0,2,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1205.2534665314936,0,3,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1414.294728201413,0,4,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1443.5424823782078,0,5,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1431.847962678314,0,6,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1346.8444633706063,0,7,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1312.5220878210107,0,8,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1769.4102120929829,0,9,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1242.470828114893,0,10,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1313.8246936931257,0,11,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1750.2749129767146,0,12,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1033.5054440645183,0,13,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1728.2354334986712,0,14,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1398.9999169225878,0,15,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1070.0987697631795,0,16,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
